user_id,article_1,article_2,article_3,article_4,article_5
200000,194935,195645,194421,195773,187005
200001,285808,272143,224658,199198,198659
200002,202701,61375,159762,293301,156654
200003,158536,156447,156560,156619,235230
200004,218028,289003,157478,289090,336220
200005,69932,156964,234698,64346,160974
200006,307561,20691,96210,159529,336245
200007,283791,97530,336254,331116,289003
200008,352979,277107,336254,289003,218028
200009,156560,166581,198659,175040,224658
200010,64329,162765,156560,160974,272143
200011,107301,64329,198659,224658,175040
200012,181585,111043,119534,233688,128260
200013,96103,336245,20691,96244,288440
200014,156560,156447,162765,158536,156619
200015,236338,234698,64409,336221,214631
200016,96103,336245,20691,288440,337441
200017,107073,106742,162839,65831,206775
200018,336245,96210,288440,337441,183176
200019,121834,216102,352555,176586,177155
200020,156964,235870,234269,289090,336221
200021,324823,299697,199197,175040,64329
200022,336221,234698,235870,300082,156964
200023,156519,159938,199716,156964,199032
200024,36162,50644,234269,235854,234267
200025,156654,64329,166581,199197,272143
200026,286336,122069,283552,42356,114661
200027,36587,59817,194951,59888,166913
200028,284474,285298,348111,199197,233917
200029,277107,57966,157478,289003,331116
200030,123290,124352,124228,124748,123818
200031,272218,338339,70397,108856,301030
200032,156560,156447,162765,158536,156619
200033,20691,96210,95716,336221,336223
200034,87179,87236,236444,157844,284422
200035,271262,234698,161506,32082,301015
200036,234698,95716,111210,293301,257291
200037,336380,315105,337735,160158,83534
200038,233728,234391,336476,237252,236065
200039,149610,224486,224355,206772,159661
200040,162338,107039,208077,336476,236961
200041,235854,336220,183176,277492,288435
200042,284985,160940,338340,293114,124749
200043,224763,257291,285719,289126,293301
200044,64409,277492,284096,277491,234698
200045,159275,156560,84856,211485,83822
200046,353012,351820,353437,352063,353811
200047,96210,336245,288440,303180,133160
200048,336476,59829,182513,284474,299697
200049,107177,156619,233997,140528,203890
200050,348112,354086,277492,277491,288321
200051,156560,166581,198659,175040,224658
200052,58580,271261,234698,235870,123909
200053,277492,288435,235854,272143,2303
200054,250043,166581,272143,224658,158536
200055,128260,181585,111043,289090,161506
200056,14145,70429,16588,50405,16563
200057,96152,272762,218789,83485,123434
200058,206785,158536,161506,62464,64329
200059,218028,202355,214753,336254,61594
200060,303180,233595,31836,336223,59057
200061,156964,289090,64409,235870,336221
200062,205866,202376,208596,207714,202701
200063,235652,264771,161801,161506,235230
200064,156560,166581,198659,175040,224658
200065,14394,16470,14401,236951,206315
200066,336223,48403,59057,95716,324823
200067,235870,235616,64409,300082,156964
200068,124352,124748,123290,123818,123757
200069,39894,277107,336254,289003,336223
200070,336476,59829,182513,284474,299697
200071,58580,132497,234698,183176,233688
200072,31520,141004,59057,214206,303180
200073,336220,277491,336221,124228,168623
200074,233717,272143,198659,64329,166581
200075,293114,123826,124350,123289,123757
200076,336221,156052,70773,300082,161149
200077,156624,166338,204678,272401,218289
200078,199198,224658,272143,166581,175040
200079,283009,288942,336254,277107,157478
200080,255747,254414,256026,255007,255875
200081,149612,264771,161801,42530,84420
200082,156560,156447,162765,158536,156619
200083,270607,50504,293514,245161,158882
200084,336220,354086,277492,289186,289090
200085,288680,59057,133506,48403,336223
200086,123289,123826,124748,123290,162655
200087,289003,336221,336223,300082,234698
200088,156560,156447,162765,158536,156619
200089,157478,289003,331116,336221,288321
200090,199197,156624,64329,233717,272143
200091,159762,156624,64329,160417,285648
200092,123289,315088,313807,124749,124748
200093,39894,277107,336254,289003,336221
200094,289186,198659,182394,272143,224658
200095,331116,206120,162378,202559,218028
200096,124352,123818,123290,123757,124228
200097,136041,336223,315105,95716,336221
200098,277164,288942,336254,283009,287083
200099,194923,236610,285377,271262,284583
200100,233688,283505,234006,215993,183176
200101,44769,360884,42353,42354,41922
200102,235230,284547,271551,313431,199197
200103,235084,233926,233541,242185,324509
200104,166129,159275,293513,284583,96210
200105,32082,336221,234698,336223,119193
200106,157478,289003,206785,214753,162378
200107,74895,71432,75376,288320,31836
200108,336245,20691,288440,158536,199198
200109,300923,300473,298310,300128,300755
200110,124350,293062,293114,128551,293050
200111,289003,97530,336254,283009,157478
200112,156964,234698,64346,70428,161506
200113,276970,237524,168623,299152,123909
200114,95716,234698,123290,124228,123289
200115,156560,156447,162765,158536,156619
200116,214800,158536,156560,301008,158082
200117,336220,289090,156964,336221,235870
200118,31836,300715,299032,199197,224658
200119,211723,158536,211415,156560,156447
200120,234698,64409,336221,84019,48712
200121,354086,119534,284096,235854,277492
200122,331116,218028,336254,289003,157478
200123,235230,207994,272143,284547,187065
200124,288440,336245,20691,233688,183176
200125,95716,123290,124228,123818,124352
200126,202355,331116,215613,336254,289003
200127,160974,162655,218337,156624,64329
200128,96210,336245,20691,288440,336220
200129,158536,156619,160974,162655,156447
200130,156624,64329,156560,218337,158536
200131,288320,233595,30611,59057,336223
200132,218028,336254,289003,352979,186947
200133,235230,187065,285298,129029,313431
200134,352979,30389,39894,289003,283009
200135,336245,96103,20691,96210,337441
200136,202416,271262,225010,236566,283764
200137,283009,30389,352979,39894,236610
200138,166581,198659,199198,64329,156560
200139,207309,206168,70646,284547,208322
200140,9649,10127,336245,235524,235616
200141,277107,289003,336245,331116,96210
200142,313355,315088,309540,313756,312276
200143,337728,32295,211481,332968,338497
200144,124748,123290,124350,123826,123613
200145,336254,160974,235854,159762,307779
200146,293522,160748,331780,288627,332041
200147,271362,265991,272514,272513,234698
200148,158536,158082,160974,156560,166581
200149,321041,320303,320639,319599,317804
200150,119193,234698,336221,95716,336223
200151,293513,168623,160158,336221,48403
200152,299767,300755,272143,324823,298246
200153,331116,202355,360646,215613,158536
200154,95716,300082,235870,234698,336223
200155,236951,172576,157844,215861,237524
200156,123757,233478,159762,58606,161100
200157,288435,235854,168623,277491,276970
200158,352979,283009,39894,30389,289003
200159,293301,168623,313602,289126,285719
200160,202381,39894,277107,207603,206785
200161,206415,207758,70429,285908,202320
200162,61913,61966,62748,62568,62599
200163,293114,284985,284547,124748,123826
200164,336221,234698,214474,156560,166581
200165,162655,166581,199197,64329,198659
200166,218028,202355,336254,183176,336221
200167,198659,64329,182394,175040,272143
200168,78357,160974,198659,64329,162655
200169,336245,336221,96210,20691,32088
200170,270607,245161,293514,119193,336221
200171,140678,276970,95972,156625,168623
200172,160417,160974,272143,158536,156624
200173,299767,300755,272143,324823,298246
200174,353874,221711,283123,348132,115268
200175,156560,156447,162765,158536,156619
200176,57616,66672,162655,198659,199197
200177,182394,198659,224658,175040,166581
200178,161801,156560,158536,156447,162655
200179,96210,20691,277492,183176,128260
200180,303781,303967,303686,304788,304487
200181,283123,352990,42356,282539,103210
200182,354086,284602,284096,337192,277492
200183,161801,161506,235652,272143,158536
200184,156624,156560,64329,158536,218337
200185,4967,293331,4715,4983,4772
200186,215674,119534,277492,87174,63307
200187,284547,313431,199197,156624,64329
200188,285343,286161,284547,285342,278312
200189,30374,96210,336245,20691,57616
200190,161409,50864,50383,50715,161160
200191,57966,336254,331116,289003,39894
200192,352979,283009,30389,336221,235870
200193,284547,156619,235230,199197,156624
200194,156560,156447,162765,158536,156619
200195,202478,235804,235230,233934,156619
200196,182394,198659,224658,175040,166581
200197,327118,336245,20691,119193,48403
200198,274168,272387,336254,272802,273672
200199,212234,211455,357715,42951,286336
200200,95716,156964,289126,235870,234698
200201,70428,87236,87231,87228,168623
200202,288320,303180,133160,301015,237524
200203,293513,245041,158882,336221,95716
200204,337192,336220,336221,336223,235616
200205,283402,336245,353633,354099,351875
200206,236266,156964,159762,234698,64329
200207,314359,312476,313728,313655,309366
200208,157478,285849,57966,289003,97530
200209,124350,283392,123289,124352,236951
200210,209236,97670,162378,331116,202559
200211,293050,16764,124749,293062,321369
200212,123826,123564,124350,123289,59506
200213,209013,209348,58619,158915,284422
200214,59572,286161,284583,32547,283437
200215,336221,235870,214631,300082,156964
200216,277491,354086,276970,337192,336220
200217,300923,300128,299369,298524,300529
200218,136145,137697,137645,133816,137175
200219,202355,157815,158293,149879,48739
200220,276970,286161,168623,288320,133160
200221,166581,218337,156560,158536,160417
200222,129799,288435,354086,284339,183176
200223,207848,208531,234269,202330,208237
200224,235616,199198,272143,224658,313431
200225,299767,300755,272143,324823,298246
200226,300048,36329,107301,36292,272803
200227,199197,284547,272143,235230,313431
200228,337192,336220,336221,277492,235616
200229,335452,335617,336220,96210,20691
200230,206090,207990,207786,156560,157078
200231,64329,162765,156560,160974,272143
200232,299767,300755,272143,324823,298246
