user_id,article_1,article_2,article_3,article_4,article_5
200000,194935,195645,194421,195773,187005
200001,64329,285808,324823,199198,224658
200002,202701,61375,293301,159762,156654
200003,156447,158536,156560,235230,156619
200004,218028,289003,157478,289090,336220
200005,69932,156964,234698,64346,160974
200006,307561,96210,20691,159529,336245
200007,336254,157478,97530,283791,289003
200008,277107,352979,336254,289003,218028
200009,198659,166581,199198,64329,324823
200010,162765,156560,159762,64329,162655
200011,107301,64329,198659,175040,224658
200012,181585,111043,233688,119534,128260
200013,336245,20691,96103,288440,96244
200014,156447,158536,156560,156619,162765
200015,236338,234698,336221,64409,214631
200016,336245,20691,96103,288440,337441
200017,107073,106742,162839,65831,206775
200018,336245,96210,288440,337441,183176
200019,121834,177155,176586,352555,261612
200020,234269,235870,156964,289090,300082
200021,324823,175040,299697,64329,199197
200022,300082,234698,336221,235870,64409
200023,156519,159938,199716,198275,156964
200024,36162,50644,234269,235854,234267
200025,156654,64329,166581,199197,272143
200026,286336,122069,283552,42356,114661
200027,59817,36587,59888,59848,166913
200028,284474,348111,285298,199197,233917
200029,277107,57966,289003,157478,331116
200030,123290,124352,124228,123818,124748
200031,70397,272218,338339,301030,108856
200032,156447,156560,158536,156619,162765
200033,20691,96210,95716,336221,336223
200034,87179,87236,236444,157844,197151
200035,271262,234698,301015,161506,32082
200036,95716,234698,111210,293301,257291
200037,284985,128551,83534,160158,108856
200038,234391,233728,336476,233605,237252
200039,224486,206772,224355,149610,225124
200040,162338,107039,208077,336476,182513
200041,183176,235854,336220,288435,277492
200042,284985,338340,160940,96480,211863
200043,224763,257291,289126,293301,337435
200044,64409,277491,284096,277492,234698
200045,159275,84856,156560,211485,83752
200046,353012,351820,352063,353437,353811
200047,96210,288440,336245,303180,31836
200048,336476,182513,59829,284474,299697
200049,107177,203890,156619,233997,140528
200050,348112,354086,183176,277492,277491
200051,198659,166581,199198,64329,156560
200052,58580,271261,234698,235870,95716
200053,288435,277492,235854,42873,36161
200054,250043,272143,166581,224658,198659
200055,128260,181585,289090,111043,336220
200056,50405,14145,70429,16588,16563
200057,272762,96152,218789,83485,123434
200058,206785,64329,161506,62464,198659
200059,218028,202355,336254,214753,61594
200060,31836,303180,336223,59057,233595
200061,289090,234698,336221,235870,64409
200062,205866,202376,208596,207714,202701
200063,264771,235652,161801,161506,235230
200064,198659,166581,199198,156560,64329
200065,14394,14401,16470,236951,236444
200066,336223,48403,59057,95716,324823
200067,235616,235870,300082,64409,156964
200068,124352,124748,123290,123818,123757
200069,277107,39894,289003,336254,207603
200070,336476,182513,59829,284474,299697
200071,58580,132497,234698,233688,183176
200072,31520,141004,59057,214206,31836
200073,336220,277491,336221,124228,214474
200074,233717,64329,272143,166581,198659
200075,293114,123826,124350,123290,123757
200076,336221,156052,70773,161149,300082
200077,156624,166338,204678,272401,80055
200078,199198,272143,224658,166581,324823
200079,283009,336254,288942,277107,331116
200080,256026,255007,255747,254414,255875
200081,149612,264771,161801,84420,42967
200082,156447,156560,158536,156619,162765
200083,270607,50504,293514,245161,158882
200084,336220,354086,277492,119534,289186
200085,288680,133506,59057,336223,48403
200086,123289,124748,123290,123826,162655
200087,289003,336221,336223,300082,234698
200088,156447,158536,156560,156619,162765
200089,157478,289003,331116,336221,64409
200090,199197,156624,64329,272143,233717
200091,159762,64329,285648,29984,156624
200092,123289,315088,123290,313807,123757
200093,39894,277107,289003,336254,336221
200094,289186,198659,182394,64329,175040
200095,209236,218028,202559,331116,162378
200096,123818,123290,124352,123757,124350
200097,336223,136041,315105,95716,336221
200098,277164,288942,283009,336254,287083
200099,194923,236610,271262,285377,284583
200100,233688,234006,283505,111043,215993
200101,360884,44769,42354,42353,41922
200102,235230,284547,271551,313431,129029
200103,235084,233926,233541,242185,324509
200104,166129,159275,293513,284583,96210
200105,32082,336221,234698,336223,31836
